Configuration,Algorithm,PCA_Config,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Clusters,Noise_Pct,PCA_Components,Explained_Variance,Best Seed
Agglomerative_PCA10_K2_S0.78_DB0.35_CH98_S42,Agglomerative,PCA10,0.7770905623669455,0.3455039503756103,98.06838553032041,2,0.0,10,0.6463562018027872,42
Agglomerative_PCA80_K2_S0.75_DB0.38_CH79_S42,Agglomerative,PCA80,0.7458155642608927,0.38249645277938027,78.5211175368696,2,0.0,18,0.8022109808933977,42
Agglomerative_PCA5_K2_S0.75_DB0.43_CH70_S42,Agglomerative,PCA5,0.7457365826642612,0.42895632635272857,70.09427624748254,2,0.0,5,0.4459797000753665,42
Agglomerative_PCA20_K2_S0.74_DB0.39_CH76_S42,Agglomerative,PCA20,0.7415398571763963,0.3867950398826851,76.17879251539559,2,0.0,20,0.8254745870025119,42
Agglomerative_PCA85_K2_S0.74_DB0.40_CH74_S42,Agglomerative,PCA85,0.7368199051349261,0.3973513946477931,73.55715693758299,2,0.0,23,0.8532177096177381,42
Agglomerative_PCA30_K2_S0.73_DB0.41_CH69_S42,Agglomerative,PCA30,0.7286176005098736,0.4113910632619483,69.34001363680835,2,0.0,30,0.9022827323502066,42
Agglomerative_PCA90_K2_S0.73_DB0.41_CH69_S42,Agglomerative,PCA90,0.7286138489837829,0.4113444539991977,69.3379560393314,2,0.0,30,0.9023077072379627,42
Agglomerative_PCA95_K2_S0.72_DB0.42_CH66_S42,Agglomerative,PCA95,0.7207196343386522,0.42034731260949243,65.65710222603425,2,0.0,42,0.9501925404682614,42
Agglomerative_PCA50_K2_S0.72_DB0.42_CH64_S42,Agglomerative,PCA50,0.7180213962851761,0.42407750447375975,64.43322430432706,2,0.0,50,0.9673254733329415,42
Agglomerative_NoPCA_K2_S0.71_DB0.46_CH62_S42,Agglomerative,NoPCA,0.7148294175276169,0.45858200392956533,62.22108810906339,2,0.0,277,1.0,42
Agglomerative_PCA3_K2_S0.57_DB0.51_CH92_S42,Agglomerative,PCA3,0.5694631676884191,0.5112501346412177,91.79516312909414,2,0.0,3,0.34176402289311725,42
HDBSCAN_PCA80_K2_S0.55_DB0.60_CH91_S42,HDBSCAN,PCA80,0.5501873988971334,0.6019482259663536,91.28294710383335,2,0.24489795918367346,18,0.8022109808933977,42
HDBSCAN_PCA20_K2_S0.54_DB0.61_CH88_S42,HDBSCAN,PCA20,0.5434550303797548,0.6129129799853827,88.45523087840087,2,0.24489795918367346,20,0.8254745870025119,42
HDBSCAN_PCA85_K2_S0.54_DB0.63_CH85_S42,HDBSCAN,PCA85,0.5360728278737045,0.629636948924286,85.36249121258584,2,0.24489795918367346,23,0.8532177096177381,42
DBSCAN_PCA2_K2_S0.53_DB0.42_CH99_S42,DBSCAN,PCA2,0.5280298179316492,0.42177915708909414,99.2534338696594,2,0.4897959183673469,2,0.2763738639519756,42
HDBSCAN_PCA2_K2_S0.53_DB0.41_CH93_S42,HDBSCAN,PCA2,0.5276655335668521,0.41364419143028625,92.72041066328207,2,1.306122448979592,2,0.2763738639519756,42
HDBSCAN_PCA30_K2_S0.52_DB0.65_CH80_S42,HDBSCAN,PCA30,0.5227376643183165,0.6529467586192135,80.16018986559284,2,0.24489795918367346,30,0.9022827323502066,42
HDBSCAN_PCA90_K2_S0.52_DB0.65_CH80_S42,HDBSCAN,PCA90,0.5227282166675403,0.6528754172350905,80.15770417418834,2,0.24489795918367346,30,0.9023077072379627,42
HDBSCAN_PCA95_K2_S0.51_DB0.67_CH76_S42,HDBSCAN,PCA95,0.5102053238363384,0.6733603507017634,75.63385025545912,2,0.24489795918367346,42,0.9501925404682614,42
HDBSCAN_PCA50_K2_S0.51_DB0.68_CH74_S42,HDBSCAN,PCA50,0.5061811949716334,0.6828938429769609,74.13748584917462,2,0.24489795918367346,50,0.9673254733329415,42
DBSCAN_PCA3_K2_S0.50_DB0.44_CH78_S42,DBSCAN,PCA3,0.4990114226786691,0.44232249630916853,77.86402677347785,2,4.653061224489797,3,0.34176402289311725,42
HDBSCAN_NoPCA_K2_S0.50_DB0.70_CH71_S42,HDBSCAN,NoPCA,0.49861738261988137,0.6969348922826291,71.49668854691294,2,0.24489795918367346,277,1.0,42
HDBSCAN_PCA3_K2_S0.49_DB0.45_CH68_S42,HDBSCAN,PCA3,0.4880505413096136,0.44673030877555814,67.62730769993424,2,2.9387755102040813,3,0.34176402289311725,42
Agglomerative_PCA2_K2_S0.49_DB0.69_CH164_S42,Agglomerative,PCA2,0.48527216504209775,0.6867774324457826,164.4781374931298,2,0.0,2,0.2763738639519756,42
MeanShift_PCA3_K3_S0.47_DB0.57_CH107_S42,MeanShift,PCA3,0.4713245434489662,0.5656936637654454,106.56798013509217,3,0.0,3,0.34176402289311725,42
KMeans_PCA2_K3_S0.43_DB0.84_CH973_S42,KMeans,PCA2,0.42989698257179526,0.8440389829971413,972.6010177906254,3,0.0,2,0.2763738639519756,42
MeanShift_PCA80_K5_S0.39_DB0.61_CH47_S42,MeanShift,PCA80,0.3852602950178415,0.6052027478708495,46.630118852219226,5,0.0,18,0.8022109808933977,42
