"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"LipidPL_FBA",7.06e-05,7.06e-05,0.000527829489390544,0.0190018616180596,1
"EA_L1w",-0.017001637,-0.005040098,0.00112468533711162,0.0195187590598003,0.296447806761196
"CU_FBA",490000.0274,438825.5167,0.00162656325498336,0.0195187590598003,0.895562228901214
"CU_L1w",0.012545308,0.008834123,0.00311769978180167,0.028059298036215,0.704177450246738
"LipidPL_L1w",1.39e-05,6.21e-06,0.0049251285222749,0.0322585877622793,0.446762589928058
"MFI_FBA",1,1,0.00551142822691557,0.0322585877622793,1
"MFI_pFBA",0,0,0.00627250317599875,0.0322585877622793,NA
"GlnDependence_FBA",0.5,0.333333556,0.0257841112308205,0.116028500538692,0.666667112
"SA_Glutamate_metabolism_FBA",3727.981561,2932.815806,0.0293989900694093,0.117595960277637,0.786703409877729
"RedoxIndex_L1w",0.000148663,0.000193179,0.0469718760274654,0.169098753698876,1.29944236292823
"WarburgIndex_pFBA",0,0,0.0594149617509352,0.194448965730333,NA
"RedoxIndex_pFBA",0,0,0.169550148045975,0.456682780354001,NA
"SA_Fatty_acid_synthesis_pFBA",0,0,0.171938389625615,0.456682780354001,NA
"MFI_L1w",2,2,0.181895603279544,0.456682780354001,1
"GlnDependence_L1w",1,1,0.199291973966244,0.456682780354001,1
"WarburgIndex_L1w",8.85e-05,0.000109037,0.202970124601778,0.456682780354001,1.23205649717514
"SA_Oxidative_phosphorylation_FBA",0.004070972,90.34119115,0.23992303715623,0.461424223382294,22191.5530615293
"SA_Fatty_acid_synthesis_L1w",7.35e-06,9.52e-06,0.24173075244207,0.461424223382294,1.2952380952381
"NADPHdemand_L1w",0.000103391,0.000252303,0.253051740675006,0.461424223382294,2.44028010174967
"SA_Oxidative_phosphorylation_L1w",0.002705899,0.002725813,0.256346790767941,0.461424223382294,1.00735947646235
"Oncomet_Lactate_FBA",4591.99584,2365.084746,0.300363225554863,0.50783784791253,0.515045054134892
"EA_pFBA",0,0,0.32272215156665,0.50783784791253,NA
"CU_pFBA",0,0,0.324451958388561,0.50783784791253,NA
"AnabolismScore_FBA",1.894231496,2.4944399345,0.365990031262455,0.548985046893683,1.31686118606276
"SA_Glutamate_metabolism_L1w",0.000247204,0.000281383,0.459923950468714,0.662290488674948,1.13826232585233
"AnabolismScore_L1w",0.016603586,0.017501782,0.543051762023203,0.75191782433982,1.05409650662212
"Oncomet_Succinate_FBA",10000,10000,0.61721050281898,0.806535539242084,1
"EA_FBA",-24894.55819,27924.92501,0.627305419410509,0.806535539242084,-1.12172808197164
"RedoxIndex_FBA",13285.70651,11732.19469,0.678059598749506,0.818444624625747,0.883068934359592
"Oncomet_Lactate_L1w",0,0,0.709950619643187,0.818444624625747,NA
"Oncomet_Succinate_L1w",0.000243966,0.0002632615,0.74049307378956,0.818444624625747,1.07909093890132
"WarburgIndex_FBA",10000,10000,0.745169148037907,0.818444624625747,1
"NADPHdemand_FBA",11312.062215,12669.0192995,0.755897977656187,0.818444624625747,1.11995664969917
"SA_Fatty_acid_synthesis_FBA",0,0,0.790137298187148,0.818444624625747,NA
"SA_Oxidative_phosphorylation_pFBA",0.002850877,0.002789855,0.795710051719477,0.818444624625747,0.97859535855107
"SA_Glutamate_metabolism_pFBA",1.85e-05,1.45e-05,0.89591555143946,0.89591555143946,0.783783783783784
