"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"SA_Biomass_reactions_FBA",1000,1000,1.08887012285243e-10,9.00132634891345e-09,1
"SA_Biomass_reactions_L1w",990,990,1.08887012285243e-10,9.00132634891345e-09,1
"SA_Biomass_reactions_pFBA",990,990,1.08887012285243e-10,9.00132634891345e-09,1
"GlnDependence_pFBA",1,1,2.48160187498921e-07,1.53859316249331e-05,1
"LipidPL_pFBA",6.9894,6.9894,2.60103828589513e-05,0.00129011498980398,1
"EA_L1w",-25208.83304,-24492.56991,4.34877769140081e-05,0.00179749477911234,0.971586819236596
"SA_Transport__extracellular_L1w",8.7176931785,8.143455578,0.000412069492856899,0.0145990334612159,0.934129638570418
"SA_Drug_metabolism_L1w",16.19427338,10.89123235,0.00280560853919068,0.086973864714911,0.672536031375802
"SA_Triacylglycerol_synthesis_L1w",3.965e-12,6.43e-12,0.00529957888037955,0.138641832328749,1.62168978562421
"ATPConsumption_pFBA",74.063981285,68.1616505,0.00648778307825874,0.138641832328749,0.920307676111986
"ATPProduction_pFBA",74.063981285,68.1616505,0.00648778307825874,0.138641832328749,0.920307676111986
"SA_Oxidative_phosphorylation_pFBA",0.7624426635,0.667786981,0.00670847575784268,0.138641832328749,0.875852064645121
"SA_Extracellular_exchange_pFBA",25.766434285,24.92625505,0.00735391288972784,0.140290030511731,0.967392491110456
"SA_Pentose_phosphate_pathway_L1w",1.3791006485,1.157668198,0.00920513124410256,0.163062324895531,0.839437063030284
"SA_Eicosanoid_metabolism_L1w",2.2574790825,1.537539352,0.0106016718557578,0.167502189906891,0.681086865397345
"CU_L1w",9467.0680805,9400.583471,0.0108065928972188,0.167502189906891,0.992977275653384
"SA_Glycolysis_gluconeogenesis_FBA",2835.7928695,2714.571851,0.0126385916981851,0.184374749479406,0.957253218384256
"SA_Extracellular_exchange_L1w",31.35472149,30.89048896,0.015382157425813,0.204164781058834,0.985194174658893
"SA_Transport__extracellular_pFBA",4.0040245735,3.93708205,0.0156416566133784,0.204164781058834,0.983281190644271
"SA_Sphingolipid_metabolism_pFBA",1.74735,1.74735,0.0193401462321719,0.230498678944285,1
"SA_Bile_acid_synthesis_pFBA",0,0,0.0195180332977015,0.230498678944285,NA
"SA_Nucleotide_interconversion_L1w",2.4795092145,2.387600303,0.0247246657655346,0.278714414084208,0.962932619502875
"SA_Phosphatidylinositol_phosphate_metabolism_pFBA",3.57885,3.57885,0.0300559444889138,0.312890798123535,1
"SA_Phosphatidylinositol_phosphate_metabolism_FBA",3.615,3.615,0.031780913512715,0.312890798123535,1
"Oncomet_Succinate_FBA",10000,10000,0.0319217906638253,0.312890798123535,1
"AnabolismScore_L1w",0.222820825,0.155646819,0.0328030675452093,0.312890798123535,0.69852904906891
"SA_Glycine__serine__alanine__and_threonine_metabolism_FBA",1152.437186,1250,0.0343363202225265,0.315385459821725,1.0846578149206
