"Feature","Med_Core","Med_Div","p_val","cliffs_delta","Pct_Diff","p_adj","Fold_Change","sig_stars","effect_size"
"SA_Biomass_reactions_FBA",1000,1000,7.37018226886874e-104,-0.41025641025641,0,6.09268400893149e-102,1,"***","Mediano"
"SA_Biomass_reactions_L1w",990,990,7.37018226886874e-104,-0.41025641025641,0,6.09268400893149e-102,1,"***","Mediano"
"SA_Biomass_reactions_pFBA",990,990,7.37018226886874e-104,-0.41025641025641,0,6.09268400893149e-102,1,"***","Mediano"
"GlnDependence_pFBA",1,1,6.44939972920204e-67,-0.348394134044358,0,3.99862783210526e-65,1,"***","Mediano"
"LipidPL_pFBA",6.9894,6.9894,3.23797941156012e-64,-0.407116692830979,0,1.60603778813382e-62,1,"***","Mediano"
"SA_Drug_metabolism_L1w",15.80648572,0.336114311,2.91217764777478e-08,-0.521830136736969,-97.8735671106531,1.20370009441358e-06,0.0212643288934689,"***","Grande"
"CU_L1w",9467.507058,9104.835077,1.1476025533408e-07,-0.498782790708257,-3.83070198710381,4.06579190326455e-06,0.961692980128962,"***","Grande"
"SA_Oxidative_phosphorylation_L1w",4.571532333,2.829374657,3.76229719091494e-07,-0.477987850658658,-38.1088341741364,1.03672189260767e-05,0.618911658258636,"***","Grande"
"SA_Purine_catabolism_pFBA",4.20354,2.210484375,3.4148787822599e-07,-0.479239187313721,-47.4137423457372,1.03672189260767e-05,0.525862576542628,"***","Grande"
"CU_pFBA",10200.42112,9990.627345,1.21105344688884e-06,-0.456646872795941,-2.05671680151182,2.65767034805135e-05,0.979432831984882,"***","Mediano"
"ATPConsumption_L1w",103.9982343,82.66459588,1.47508471729708e-06,-0.452961117557391,-20.5134621405779,2.65767034805135e-05,0.794865378594221,"***","Mediano"
"ATPProduction_L1w",103.9982343,82.66459588,1.47508471729708e-06,-0.452961117557391,-20.5134621405779,2.65767034805135e-05,0.794865378594221,"***","Mediano"
"SA_Inositol_phosphate_metabolism_L1w",0.058775414,6.13e-05,1.27505022491767e-06,-0.455691306622984,-99.8957046904,2.65767034805135e-05,0.00104295309600031,"***","Mediano"
"SA_Purine_catabolism_L1w",4.241233462,2.752677625,1.50029777712576e-06,-0.452642595499738,-35.0972388183049,2.65767034805135e-05,0.649027611816951,"***","Mediano"
"SA_Transport__mitochondrial_L1w",3.753616265,1.010707014,1.66451115674808e-06,-0.45068596000273,-73.0737789202328,2.75199177915683e-05,0.269262210797672,"***","Mediano"
"SA_Miscellaneous_L1w",1.258206575,0.259309865,2.05116148680884e-06,-0.446727185857621,-79.390517411658,2.82604471515885e-05,0.206094825883421,"***","Mediano"
"SA_Sphingolipid_metabolism_L1w",1.996998978,1.002969647,2.03571579937529e-06,-0.44679544058426,-49.7761562199457,2.82604471515885e-05,0.502238437800543,"***","Mediano"
"SA_Sphingolipid_metabolism_pFBA",1.74735,0.93192,1.8765195890532e-06,-0.446681682706527,-46.6666666666667,2.82604471515885e-05,0.533333333333333,"***","Mediano"
"SA_Dietary_fiber_binding_L1w",0.048915354,0.002502665,2.56972129143692e-06,-0.441744590812914,-94.8836821256573,3.35416252777029e-05,0.0511631787434269,"***","Mediano"
"SA_Phosphatidylinositol_phosphate_metabolism_L1w",2.836233751,1.86886679,3.15566082806594e-06,-0.438422860783109,-34.1074483250517,3.91301942680176e-05,0.658925516749483,"***","Mediano"
"SA_ROS_detoxification_L1w",5.857158162,0.147698602,3.46828567315447e-06,-0.436625486314927,-97.4783231404226,4.0958802235348e-05,0.0252167685957735,"***","Mediano"
"SA_Glycine__serine__alanine__and_threonine_metabolism_L1w",3.881474652,0.552819423,5.70742540224826e-06,-0.426842308829886,-85.757489805707,6.43382499889803e-05,0.14242510194293,"***","Mediano"
"SA_Phosphatidylinositol_phosphate_metabolism_pFBA",3.57885,2.3859,6.15729480481035e-06,-0.412599822537711,-33.3333333333333,6.6391700504042e-05,0.666666666666667,"***","Mediano"
"SA_Starch_and_sucrose_metabolism_L1w",0.000183928,2.44e-05,8.23095862428534e-06,-0.419516301503879,-86.7339393675786,8.50532391176152e-05,0.132660606324214,"***","Mediano"
"SA_Glycolysis_gluconeogenesis_L1w",1.130869723,0.450415181,9.21190779130145e-06,-0.417241143949218,-60.1709045843824,9.13821252897104e-05,0.398290954156176,"***","Mediano"
"SA_Folate_metabolism_L1w",1.198372999,0.431653217,1.14411823949086e-05,-0.412827338293177,-63.980061520061,0.000109131278228359,0.36019938479939,"***","Mediano"
"ATPConsumption_pFBA",73.52403333,57.2022,1.51265285179295e-05,-0.407071189679885,-22.1993171358571,0.000133861048016092,0.778006828641429,"***","Mediano"
"ATPProduction_pFBA",73.52403333,57.2022,1.51265285179295e-05,-0.407071189679885,-22.1993171358571,0.000133861048016092,0.778006828641429,"***","Mediano"
"SA_Fatty_acid_oxidation_L1w",0.195985605,0.00052579,1.56531064212366e-05,-0.40636589083794,-99.7317200924017,0.000133861048016092,0.00268279907598316,"***","Mediano"
"SA_Oxidative_phosphorylation_pFBA",0.762464075,0.6670375,1.78943579120074e-05,-0.403453689167975,-12.5155503228136,0.000147926692072594,0.874844496771864,"***","Mediano"
"SA_Citric_acid_cycle_L1w",2.08631299,0.834256576,2.45732177359459e-05,-0.396901235410552,-60.012875345228,0.000196585741887567,0.39987124654772,"***","Mediano"
"SA_Pentose_phosphate_pathway_L1w",1.349059686,0.212291621,2.60361924269597e-05,-0.395672650331035,-84.2637339768524,0.000201780491308938,0.157362660231476,"***","Mediano"
"MFI_pFBA",1,1,2.98270535950137e-05,-0.204604918890633,0,0.000218568929538242,1,"***","Pequeño"
"LipidPL_L1w",6.9894,6.9894,3.0412978149146e-05,-0.364502991832184,0,0.000218568929538242,1,"***","Mediano"
"SA_Heme_synthesis_L1w",0.791938985,7.78e-05,3.08464215074131e-05,-0.392032398243578,-99.9901760108451,0.000218568929538242,9.82398915492208e-05,"***","Mediano"
