"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"CU_pFBA",0,0,1.24754429193612e-53,4.99017716774449e-52,NA
"AnabolismScore_FBA",1.328988272,4.211060829,4.87908497841651e-17,9.75816995683302e-16,3.16862151286163
"SA_Glutamate_metabolism_pFBA",4.615e-06,3.98e-05,2.08413123634273e-08,2.77884164845698e-07,8.6240520043337
"LipidSat_FBA",1687.08768,0,0.00276150672383227,0.0276150672383227,0
"SA_Glutamate_metabolism_FBA",3810.8725105,3607.407486,0.00640577163875853,0.0512461731100683,0.94660933318042
"EA_pFBA",0,0,0.0115499793814662,0.0769998625431077,NA
"SA_Glutamate_metabolism_L1w",0.0002418615,0.000256675,0.0276027524097308,0.15773001376989,1.06124786292982
"SA_Fatty_acid_synthesis_FBA",0,0,0.0346817765283566,0.173408882641783,NA
"NADPHdemand_L1w",0.000354225,0.000103016,0.0614363838676672,0.27305059496741,0.290820805984897
"RedoxIndex_pFBA",0,0,0.0743465732006202,0.297386292802481,NA
"SA_Oxidative_phosphorylation_pFBA",0.002816341,0.002860878,0.102123763896541,0.371359141441967,1.01581378107268
"WarburgIndex_pFBA",0,0,0.113987548950919,0.379958496503064,NA
"LipidPL_L1w",1.25e-05,1.515e-05,0.134258043318984,0.41310167175072,1.212
"LipidPL_FBA",7.06e-05,7.06e-05,0.167853744481822,0.47958212709092,1
"RedoxIndex_FBA",13127.17742,13571.45543,0.192686171293296,0.493542936817166,1.03384413844541
"MFI_pFBA",0,0,0.197417174726866,0.493542936817166,NA
"Oncomet_Succinate_L1w",0.000261779,0.000212462,0.242133380939938,0.569725602211618,0.811608264986878
"CU_L1w",0.0117695915,0.012707964,0.275708421986669,0.575828128483917,1.07972855302582
"SA_Fatty_acid_synthesis_pFBA",0,0,0.28275950537694,0.575828128483917,NA
"SA_Oxidative_phosphorylation_L1w",0.0027059365,0.002707876,0.294097885332408,0.575828128483917,1.00071675739619
"EA_FBA",-25098.741875,-30360.13626,0.302564342540736,0.575828128483917,1.20962781366506
"WarburgIndex_L1w",9.005e-05,9.11e-05,0.316705470666155,0.575828128483917,1.01166018878401
"EA_L1w",-0.01651844,-0.015537608,0.358234633014951,0.612086590362559,0.940621995781684
"GlnDependence_L1w",1,1,0.367251954217535,0.612086590362559,1
"WarburgIndex_FBA",10000,10000,0.383397018845512,0.613435230152819,1
"AnabolismScore_L1w",0.016567504,0.0173446315,0.404327107497203,0.617147011261092,1.04690673380854
"Oncomet_Succinate_FBA",10000,10000,0.416574232601237,0.617147011261092,1
"CU_FBA",490522.88835,480000.0488,0.432995888073813,0.618565554391162,0.978547709393549
"SA_Oxidative_phosphorylation_FBA",0.018577396,0.003818295,0.466690264967763,0.643710710300362,0.205534457035852
"Oncomet_Lactate_L1w",0,0,0.577515397953106,0.739771204504902,NA
"MFI_FBA",1,1,0.588011422456097,0.739771204504902,1
"SA_Fatty_acid_synthesis_L1w",7.315e-06,6.13e-06,0.595346200370515,0.739771204504902,0.838004101161996
"GlnDependence_FBA",0.5,0.5,0.610311243716544,0.739771204504902,1
"Oncomet_Lactate_FBA",4309.5268735,4405.405411,0.629085483740736,0.740100569106748,1.02224804260755
"Oncomet_Fumarate_L1w",0,0,0.66988812932764,0.764153996456735,NA
"LipidSat_L1w",6.04e-06,1.54e-07,0.687738596811061,0.764153996456735,0.0254966887417219
"NADPHdemand_FBA",10824.17006,10721.06435,0.798268035589507,0.862992470907575,0.99047449278527
"MFI_L1w",2,2,0.857130080166455,0.9022421896489,1
"Oncomet_Fumarate_FBA",3408.462196,3283.193419,0.938060513703069,0.962113347387763,0.963247714131314
"RedoxIndex_L1w",0.000152818,0.000148802,0.963079112150103,0.963079112150103,0.97372037325446
