"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"AnabolismScore_FBA",1.681197071,3.144875255,0.000144222474137245,0.00548045401721532,1.87061666311932
"SA_Fatty_acid_synthesis_L1w",8.17e-06,1.3875e-06,0.0205280344479827,0.39003265451167,0.169828641370869
"MFI_L1w",2,2,0.0364804209387948,0.42601085015543,1
"LipidPL_FBA",7.06e-05,7.06e-05,0.0588325465406884,0.42601085015543,1
"Oncomet_Succinate_L1w",0.0002288395,0.0003267305,0.0618986282904783,0.42601085015543,1.42777142932055
"SA_Fatty_acid_synthesis_pFBA",0,0,0.0672648710771732,0.42601085015543,NA
"LipidPL_L1w",1.39e-05,1.165e-05,0.0908700000822609,0.467489403850867,0.838129496402878
"MFI_FBA",1,1,0.108712314526296,0.467489403850867,1
"SA_Glutamate_metabolism_L1w",0.000245922,0.0002653055,0.110721174596258,0.467489403850867,1.07881970706159
"NADPHdemand_L1w",0.000103016,0.0001582285,0.150602414425829,0.572289174818151,1.53596043333074
"CU_L1w",0.012326548,0.010733787,0.205179638536115,0.620894965085857,0.870786127632813
"EA_L1w",-0.016709736,-0.0136669945,0.215290781146905,0.620894965085857,0.817906069850535
"RedoxIndex_pFBA",0,0,0.215770666034737,0.620894965085857,NA
"LipidSat_L1w",2.625e-06,3.935e-09,0.228750776610579,0.620894965085857,0.00149904761904762
"CU_FBA",490000.0335,475016.9217,0.290089605342278,0.73385940761569,0.969422222906848
"CU_pFBA",0,0,0.308993434785554,0.73385940761569,NA
"SA_Glutamate_metabolism_FBA",3700.635152,3974.1650725,0.377866174533088,0.765461884692096,1.07391431720908
"Oncomet_Lactate_L1w",0,0,0.382596282931402,0.765461884692096,NA
"RedoxIndex_L1w",0.0001531225,0.00013823,0.41204838830438,0.765461884692096,0.902741269245212
"GlnDependence_FBA",0.5,0.5,0.418007999083775,0.765461884692096,1
"WarburgIndex_L1w",8.78e-05,9.355e-05,0.470517646349361,0.765461884692096,1.06548974943052
"SA_Oxidative_phosphorylation_FBA",0.003992892,3.224353014,0.48056610464784,0.765461884692096,807.523222265967
"RedoxIndex_FBA",13333.33361,11870.790285,0.498142101601489,0.765461884692096,0.890309252901083
"EA_pFBA",0,0,0.5039089716673,0.765461884692096,NA
"GlnDependence_L1w",1,1,0.506686441222309,0.765461884692096,1
"SA_Glutamate_metabolism_pFBA",1.73e-05,2.515e-05,0.532068701742377,0.765461884692096,1.45375722543353
"MFI_pFBA",0,0,0.556358945874748,0.765461884692096,NA
"NADPHdemand_FBA",10846.29413,14720.582865,0.564024546615229,0.765461884692096,1.3571993059163
"SA_Fatty_acid_synthesis_FBA",0,0,0.64566842734483,0.846048284107018,NA
"Oncomet_Succinate_FBA",10000,10000,0.691295986506028,0.875641582907636,1
"WarburgIndex_pFBA",0,0,0.740500372170209,0.877967306519178,NA
"LipidSat_FBA",0,1430.554458,0.772322080592629,0.877967306519178,NA
"Oncomet_Lactate_FBA",4405.47006,2625.041015,0.78088976042395,0.877967306519178,0.595859460908469
"SA_Oxidative_phosphorylation_L1w",0.002706334,0.002709212,0.796644873415743,0.877967306519178,1.00106343119511
"WarburgIndex_FBA",10000,10000,0.808654098109769,0.877967306519178,1
"SA_Oxidative_phosphorylation_pFBA",0.00284802,0.002857318,0.85923844669447,0.906973915955274,1.00326472426458
"EA_FBA",-25302.92556,-27465.695305,0.906250118626568,0.930743365075935,1.08547508626508
"AnabolismScore_L1w",0.016707212,0.017019462,0.956221295838696,0.956221295838696,1.01868953359783
