"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"SA_Transport__nuclear_L1w",0,0,7.86391555345001e-08,1.9502510572556e-05,NA
"AnabolismScore_FBA",1.1267933935,1.682945424,8.71069518463378e-06,0.00108012620289459,1.4935705460364
"SA_Linoleate_metabolism_L1w",0,0,0.000273721878778128,0.0226276753123253,NA
"SA_D_alanine_metabolism_L1w",0,0,0.000456078952240416,0.0282768950389058,NA
"GlnDependence_pFBA",1,1,0.00111476186609113,0.0453863769432841,1
"SA_Glycosphingolipid_metabolism_L1w",1.685e-12,2.76e-12,0.0011948099452748,0.0453863769432841,1.6379821958457
"SA_Biomass_reactions_FBA",1000,1000,0.00164708626003854,0.0453863769432841,1
"SA_Biomass_reactions_L1w",990,990,0.00164708626003854,0.0453863769432841,1
"SA_Biomass_reactions_pFBA",990,990,0.00164708626003854,0.0453863769432841,1
"SA_Taurine_and_hypotaurine_metabolism_L1w",0,0,0.00255107293275415,0.063266608732303,NA
"SA_Limonene_and_pinene_degradation_L1w",0,0,0.00415882701801414,0.0937626454970461,NA
"SA_Peptide_metabolism_L1w",8.2156340475,6.977645896,0.00487958972217348,0.100844854258252,0.849313133430436
"SA_Fatty_acid_oxidation_L1w",0.158758556,0.210821302,0.011218392813332,0.206826774565228,1.32793663101849
"SA_Phenylalanine_metabolism_FBA",0,0,0.011675705015779,0.206826774565228,NA
"LipidPL_pFBA",6.9894,6.9894,0.0162946333654176,0.269404604974905,1
"SA_Transport__nuclear_FBA",0,0,0.0257984611511529,0.39987614784287,NA
"MFI_L1w",3,3,0.027520269327305,0.401472164304214,1
"SA_Bile_acid_synthesis_FBA",420.7986751,666.6666667,0.0328006127077817,0.45191955286277,1.5842888919305
"SA_Bile_acid_synthesis_pFBA",0,0,0.0359843250937514,0.469690138065807,NA
"TCA_completeness_L1w",0.866666667,0.866666667,0.043691614231701,0.541776016473093,1
"SA_Heme_degradation_pFBA",0,0,0.0463859893052871,0.547796445129105,NA
"SA_Drug_metabolism_L1w",17.218569475,13.99834661,0.0513280913551581,0.571881363541144,0.8129796514353
"SA_Sphingolipid_metabolism_pFBA",1.74735,1.74735,0.0567919015212005,0.571881363541144,1
"SA_Triacylglycerol_synthesis_L1w",3.825e-12,5.23e-12,0.0585840447487436,0.571881363541144,1.36732026143791
