"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"SA_Biomass_reactions_FBA",1000,1000,3.75717547202864e-24,3.10593172354367e-22,1
"SA_Biomass_reactions_L1w",990,990,3.75717547202864e-24,3.10593172354367e-22,1
"SA_Biomass_reactions_pFBA",990,990,3.75717547202864e-24,3.10593172354367e-22,1
"GlnDependence_pFBA",1,1,4.75583172063239e-17,2.94861566679208e-15,1
"LipidPL_pFBA",6.9894,6.9894,4.39875227364132e-16,2.18178112772609e-14,1
"AnabolismScore_FBA",1.288982178,6.9971757365,8.17455836811807e-14,3.37881745882214e-12,5.42845033540875
"SA_Pentose_phosphate_pathway_FBA",1666.666667,2505.3075,3.8355189496426e-06,0.000135886957073052,1.50318449969936
"SA_Leukotriene_metabolism_L1w",0,0,0.000147332194493626,0.00456729802930242,NA
"CU_pFBA",10212.24318,10120.2057,0.000321932503031224,0.00887102897241595,0.99098753541433
"EA_L1w",-25039.014605,-24163.39732,0.000629709479785607,0.015616795098683,0.965029882412978
"SA_Purine_catabolism_L1w",4.295906291,3.716288795,0.00132375723871941,0.0285333914731826,0.865076783165799
"SA_Transport__extracellular_pFBA",4.0504772275,3.881629053,0.00142364698999424,0.0285333914731826,0.958314004741556
"SA_Valine__leucine__and_isoleucine_metabolism_FBA",2500,1428.571429,0.00149570197238457,0.0285333914731826,0.5714285716
"SA_Pyruvate_metabolism_FBA",755.108891,511.9183532,0.0019071125307591,0.0337831362591613,0.677939777032767
"SA_Glycerophospholipid_metabolism_pFBA",2.853321429,2.49665625,0.00239062865430186,0.0395250604177907,0.874999999868574
"SA_Folate_metabolism_pFBA",0.49809446,0.001333333,0.00315685284399926,0.0444712680218097,0.002676867757172
"SA_Methionine_and_cysteine_metabolism_L1w",1.9924715685,1.242384418,0.0032353553202264,0.0444712680218097,0.623539345625548
"SA_Nucleotide_metabolism_pFBA",0,0,0.0034248380382005,0.0444712680218097,NA
"SA_Glycine__serine__alanine__and_threonine_metabolism_pFBA",0.0004660495,0,0.00366571137758683,0.0444712680218097,0
