"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"SA_Biomass_reactions_FBA",1000,1000,7.09739653161229e-92,5.86718113279949e-90,1
"SA_Biomass_reactions_L1w",990,990,7.09739653161229e-92,5.86718113279949e-90,1
"SA_Biomass_reactions_pFBA",990,990,7.09739653161229e-92,5.86718113279949e-90,1
"GlnDependence_pFBA",1,1,9.51830669451276e-59,5.90135015059791e-57,1
"LipidPL_pFBA",6.9894,6.9894,1.08306340474195e-56,5.37199448752009e-55,1
"SA_Drug_metabolism_L1w",15.81376113,2.052478511,9.86350566656573e-08,4.07691567551383e-06,0.129790661065841
"SA_Oxidative_phosphorylation_L1w",4.5750139695,3.0343854145,6.21476260252633e-07,2.20180160775219e-05,0.663251617312903
"SA_Purine_catabolism_pFBA",4.20354,2.569107778,7.40032138966249e-07,2.22702342578892e-05,0.611177193032539
"ATPConsumption_L1w",104.01816995,80.0716218,8.97993316850372e-07,2.22702342578892e-05,0.769784950441728
"ATPProduction_L1w",104.01816995,80.0716218,8.97993316850372e-07,2.22702342578892e-05,0.769784950441728
"CU_L1w",9467.002993,9130.5933655,2.03120180400376e-06,4.57943679448121e-05,0.964465034208952
"SA_Purine_catabolism_L1w",4.2416020345,3.080033562,4.32492699606659e-06,8.93818245853763e-05,0.726148643118301
"LipidPL_L1w",6.9894,6.2434118305,5.30717824489938e-06,9.81793953846689e-05,0.89326863972587
"SA_Oxidative_phosphorylation_pFBA",0.7624737025,0.6670865195,5.54238522332808e-06,9.81793953846689e-05,0.874897740489614
"SA_Phosphatidylinositol_phosphate_metabolism_L1w",2.8433305085,2.085497662,6.06638266775852e-06,0.000100297526773608,0.733470011933366
"SA_Transport__mitochondrial_L1w",3.7471421285,1.6298515675,7.86946821246875e-06,0.000121976757293266,0.434958566183994
"SA_Sphingolipid_metabolism_pFBA",1.74735,1.036889011,1.02165595176833e-05,0.000149041574140321,0.593406593412882
"SA_Vitamin_A_metabolism_L1w",2.6616825785,0.2571065245,1.25217554562964e-05,0.000172521964064528,0.0965954868461037
"SA_Pentose_phosphate_pathway_L1w",1.349113143,0.236120185,1.6033434403699e-05,0.000209278512216703,0.175018816046031
"SA_Glycerophospholipid_metabolism_pFBA",2.853321429,2.049886184,2.13597677922896e-05,0.000264861120624391,0.718421052449889
"CU_pFBA",10198.21387,10030.25117,2.54613607045206e-05,0.00030068654546291,0.983530184585156
"SA_Miscellaneous_L1w",1.256567822,0.414496374,2.70289005020174e-05,0.000304689423840923,0.329863909247869
"SA_Glycolysis_gluconeogenesis_L1w",1.1314523215,0.513688162,3.27001476213133e-05,0.000327895032218213,0.454007784719544
"ATPConsumption_pFBA",73.48776619,57.2022,3.30539346994166e-05,0.000327895032218213,0.778390784829488
"ATPProduction_pFBA",73.48776619,57.2022,3.30539346994166e-05,0.000327895032218213,0.778390784829488
"SA_Dietary_fiber_binding_L1w",0.0489050085,0.01203319,3.73415882603342e-05,0.000356181303406265,0.246052303620395
"SA_Inositol_phosphate_metabolism_L1w",0.058247193,6.155e-05,4.44466694168036e-05,0.000408250889458048,0.00105670328182167
"SA_Sphingolipid_metabolism_L1w",1.996997691,1.3000602395,4.94068343929029e-05,0.00043760339033714,0.651007382411641
"SA_Glycine__serine__alanine__and_threonine_metabolism_L1w",3.8789544635,1.806823384,5.28978351976742e-05,0.000452367694104248,0.46580164861479
"LipidPL_FBA",7.06,7.06,6.55331743867671e-05,0.000541740908263942,1
"SA_Fatty_acid_oxidation_L1w",0.194566102,0.012319867,8.9681994634506e-05,0.00069503808605146,0.0633196989267946
"SA_Pyruvate_metabolism_L1w",2.001332218,0.8875454795,8.96823336840594e-05,0.00069503808605146,0.443477335505524
"SA_Starch_and_sucrose_metabolism_L1w",0.0001828495,3.39e-05,9.61695793463326e-05,0.000718894051773684,0.185398374072666
"SA_Pyrimidine_catabolism_L1w",0.4427202735,0.1281073245,9.85580554851019e-05,0.000718894051773684,0.289364034511512
"SA_Urea_cycle_L1w",2.42677169,0.7416033745,0.000103107105111774,0.00073058748764914,0.305592560501643
"SA_Citric_acid_cycle_L1w",2.085410637,0.8828375995,0.000109686430670022,0.000755617633504594,0.423339933074294
"SA_Transport__endoplasmic_reticular_L1w",4.508719428,0.898846712,0.000113228368426882,0.000758528287899687,0.199357428723108
"SA_Peptide_metabolism_L1w",7.5757430005,2.292387459,0.000116226108629791,0.000758528287899687,0.302595726762207
"SA_Phosphatidylinositol_phosphate_metabolism_pFBA",3.57885,2.3859,0.00013589002648526,0.000864121194060116,0.666666666666667
"SA_Folate_metabolism_L1w",1.196828098,0.4882969195,0.000171826034271775,0.001065321412485,0.407992526509016
"SA_Eicosanoid_metabolism_L1w",2.1745568675,0.2182200335,0.000179498630549242,0.00108574781405395,0.100351495406454
"SA_ROS_detoxification_L1w",5.8141746415,1.07482322,0.000199040278688759,0.00117528545511457,0.184862561975384
"SA_Glycerophospholipid_metabolism_L1w",4.0302567925,3.109551422,0.000205985684628266,0.00118801046018163,0.771551685685795
"SA_Glycine__serine__alanine__and_threonine_metabolism_pFBA",0.0004083335,0,0.000220229128913491,0.00124129145387604,0
"SA_Heme_synthesis_L1w",0.7897603955,0.000103838,0.000253182162899664,0.00139531503109148,0.000131480383913478
"SA_Tryptophan_metabolism_L1w",1.080816588,0.001204233,0.00026374070828817,0.00141758776160811,0.0011141881179196
"SA_Pyrimidine_synthesis_L1w",3.916511384,2.319311102,0.000268655745143472,0.00141758776160811,0.592188014944884
"MFI_pFBA",1,1,0.000319161742153794,0.00164900233446127,1
"SA_Bile_acid_synthesis_L1w",2.550188313,0.270366105,0.000395294120256297,0.0020006722821135,0.10601809428024
"SA_Phosphatidylinositol_phosphate_metabolism_FBA",3.615,2.41,0.00042415226621693,0.00210379524043597,0.666666666666667
"CU_FBA",491311.40345,419219.7585,0.000496840029824897,0.00241600641954067,0.85326690069929
"NADPHdemand_FBA",22.489945785,30,0.000518056198618049,0.00247072956263992,1.33392940502369
"SA_Alanine_and_aspartate_metabolism_L1w",1.7848506525,0.875658123,0.00055670221460285,0.00260494621172654,0.490605822830883
"SA_Extracellular_exchange_L1w",31.52511766,28.958119825,0.000659749767870816,0.00302996189688819,0.918572934043095
"SA_Extracellular_exchange_pFBA",25.89816944,24.099964135,0.000741289492937208,0.00334254171360777,0.930566316311814
"EA_L1w",-25037.052495,-23207.44365,0.000773889914821423,0.00342722676563773,0.926923952195835
"SA_Transport__mitochondrial_pFBA",0.000429009,0.0003126045,0.000803170112701316,0.0034944945254373,0.728666531471368
"SA_Transport__peroxisomal_L1w",1.2731324725,0.163078231,0.000836850938560804,0.00357825918557033,0.128092114938966
