"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"SA_Pyrimidine_catabolism_L1w",0.4213175775,0.618545622,0.00253480673063613,0.628632069197761,1.46812204150205
"SA_Glycosphingolipid_metabolism_L1w",2.03e-12,5.22e-12,0.00791222935496407,0.762424442110955,2.57142857142857
"SA_Methionine_and_cysteine_metabolism_L1w",1.9633727465,1.097371765,0.00922287631585833,0.762424442110955,0.558921767125588
"CU_pFBA",10185.591855,10258.63007,0.0164320892096675,0.968851517783513,1.00717073843521
"SA_Purine_catabolism_pFBA",4.20354,3.503273768,0.0223050925311032,0.968851517783513,0.833410356033248
"SA_Biotin_metabolism_L1w",0,0,0.0371549738321345,0.968851517783513,NA
"SA_Starch_and_sucrose_metabolism_FBA",2000,2612.542137,0.0381451300643268,0.968851517783513,1.3062710685
"LipidPL_L1w",6.9894,6.9894,0.0470749429042796,0.968851517783513,1
"SA_Triacylglycerol_synthesis_FBA",0,0,0.0555523079077959,0.968851517783513,NA
"SA_NAD_metabolism_pFBA",0,0,0.0565128762127865,0.968851517783513,NA
"SA_Inositol_phosphate_metabolism_FBA",0,0,0.0671404001450638,0.968851517783513,NA
"AnabolismScore_pFBA",0,0,0.0765503196889186,0.968851517783513,NA
"SA_Exchange_demand_reaction_FBA",0,0,0.0810648769499396,0.968851517783513,NA
"SA_Eicosanoid_metabolism_pFBA",0,0,0.100581486391969,0.968851517783513,NA
"TCA_completeness_pFBA",0.25,0.333333333,0.101863481412326,0.968851517783513,1.333333332
"SA_D_alanine_metabolism_L1w",0,0,0.103873592244926,0.968851517783513,NA
"RedoxIndex_L1w",-2.6770687245,-3.420900024,0.105816860770695,0.968851517783513,1.27785289660015
"SA_Dietary_fiber_binding_L1w",0.046726581,0.058511384,0.110871964843348,0.968851517783513,1.25220768880993
"AnabolismScore_L1w",0.193712439,0.2829624075,0.113164010662372,0.968851517783513,1.46073431815083
"RedoxIndex_pFBA",0,0,0.115180521172805,0.968851517783513,NA
"SA_Vitamin_B2_metabolism_L1w",0,0,0.115291964274501,0.968851517783513,NA
"EA_pFBA",-31928.707865,-32012.00653,0.128616592381268,0.968851517783513,1.00260889558551
"SA_Taurine_and_hypotaurine_metabolism_FBA",0,0,0.131139466688719,0.968851517783513,NA
"SA_Dietary_fiber_binding_FBA",0,0,0.13219784317512,0.968851517783513,NA
"SA_Bile_acid_synthesis_L1w",2.3487540115,3.40477742,0.133508350884885,0.968851517783513,1.44961004997947
"SA_Glyoxylate_and_dicarboxylate_metabolism_L1w",1.320090539,1.921107974,0.133965074851502,0.968851517783513,1.45528501056851
"SA_Androgen_and_estrogen_synthesis_and_metabolism_FBA",0,0,0.147709088601282,0.968851517783513,NA
"LipidSat_L1w",4.82e-11,9.09e-12,0.148039942596925,0.968851517783513,0.188589211618257
"SA_Alanine_and_aspartate_metabolism_FBA",2644.009114,2377.886667,0.152371419980891,0.968851517783513,0.899348891956959
"SA_Alanine_and_aspartate_metabolism_pFBA",0,0,0.154097074343019,0.968851517783513,NA
"SA_Transport__endoplasmic_reticular_pFBA",0,0,0.154948983544138,0.968851517783513,NA
"SA_Valine__leucine__and_isoleucine_metabolism_pFBA",0,0,0.157693618259008,0.968851517783513,NA
"SA_Nucleotide_metabolism_L1w",0,0,0.165490402366253,0.968851517783513,NA
"SA_Phenylalanine_metabolism_FBA",0,120.2317849,0.172705439636166,0.968851517783513,NA
"SA_Aminosugar_metabolism_L1w",7.72e-12,1.17e-11,0.182559003508371,0.968851517783513,1.51554404145078
"SA_Purine_synthesis_L1w",1.3121382515,1.804998328,0.186388884076131,0.968851517783513,1.37561596572356
"LipidUnsat_FBA",0,14.66898309,0.210739295939999,0.968851517783513,NA
"Oncomet_Lactate_L1w",0,0,0.213830893042144,0.968851517783513,NA
"SA_Leukotriene_metabolism_L1w",0,0,0.217138050996881,0.968851517783513,NA
"SA_Triacylglycerol_synthesis_L1w",4.515e-12,7.38e-12,0.218893217996336,0.968851517783513,1.63455149501661
"SA_Transport__lysosomal_L1w",1.555e-05,9.56e-05,0.227553443246534,0.968851517783513,6.14790996784566
"SA_C5_branched_dibasic_acid_metabolism_FBA",0,0,0.235105439333452,0.968851517783513,NA
"SA_NAD_metabolism_L1w",0.307219143,2.25e-05,0.236126410695263,0.968851517783513,7.32376237375286e-05
"MFI_pFBA",1,1,0.236576611576477,0.968851517783513,1
"SA_Vitamin_D_metabolism_L1w",0,0,0.239882358619422,0.968851517783513,NA
"SA_Fatty_acid_oxidation_pFBA",8.08e-06,5.89e-06,0.242319250583191,0.968851517783513,0.728960396039604
"SA_Pentose_phosphate_pathway_L1w",1.3403897255,1.501870004,0.24817558802391,0.968851517783513,1.12047263227101
"SA_Hyaluronan_metabolism_L1w",0,0,0.248496597694917,0.968851517783513,NA
"SA_Fatty_acid_synthesis_pFBA",0,0,0.252822119364603,0.968851517783513,NA
"SA_Folate_metabolism_L1w",1.194066872,0.982086382,0.25465320223612,0.968851517783513,0.822471843938737
"GlnDependence_pFBA",1,1,0.261785913119522,0.968851517783513,1
"SA_Biomass_reactions_FBA",1000,1000,0.26184478789534,0.968851517783513,1
"SA_Biomass_reactions_L1w",990,990,0.26184478789534,0.968851517783513,1
"SA_Biomass_reactions_pFBA",990,990,0.26184478789534,0.968851517783513,1
