Feature,Med_Div,IQR_Div,Med_Rest,IQR_Rest,Pct_Diff,p_val,cliffs_delta,p_adj,effect_cat,sig_stars
CU_mean,410177.031873173,128262.54462151579,486585.45266577357,140038.2679153129,-15.702980920205203,1.2664743927532089e-5,-0.4103860194845873,2.0244485701883478e-4,Mediano,***
CU_std,2229.9029679576884,8977.885619607825,4042.3966701663558,11026.26961856188,-44.837106550804634,0.06699276666538967,-0.17218585963320587,0.1544133016117365,Pequeño,ns
CU_min,397521.801677,122432.57090649998,467183.084499,143554.14104249992,-14.910917182864974,3.874153404950998e-5,-0.3867971399563649,2.0662151493071988e-4,Mediano,***
CU_max,430285.389058,152544.40824850003,506133.25106,137862.8774619999,-14.985749670299478,6.993402367460203e-5,-0.37379301406260124,2.797360946984081e-4,Mediano,***
EA_mean,-811852499.0178171,1862508585.5370574,-1314733604.1229546,1708038169.7775035,38.249657841567405,0.06755581945513472,0.17184023502473375,0.1544133016117365,Pequeño,ns
EA_std,39053528.53565308,148684245.5752542,55711902.71115167,126179607.76631978,-29.900924873930286,0.1405773161322948,-0.1385306633832329,0.22492370581167168,Trivial,ns
EA_min,-905384645.448355,1883480962.7713466,-1565207987.480944,1721626417.576898,42.155633456388955,0.07779771412282996,0.1657918043764716,0.15559542824565992,Pequeño,ns
EA_max,-705425608.223841,1721613558.1621783,-1005462928.211992,1729605294.4387472,29.840714318697497,0.10558377856641807,0.15213963234182273,0.18770449522918767,Pequeño,ns
ATP_mean,541.0430095152839,414.0701755436212,494.4232729230769,352.7867800492819,9.429114514894632,0.664366121956331,0.040805305337740044,0.8176813808693305,Trivial,ns
ATP_std,271.89488106390877,246.6088172256422,252.89197345214558,135.04257018204893,7.5142391244612154,0.982764202591845,-0.0020521461128032315,0.982764202591845,Trivial,ns
Biomass_mean,426.66105585714286,649.9163252538461,532.0150090689655,277.6611229557744,-19.802815976224743,6.51228630320199e-4,-0.3204804182057763,0.002083931617024637,Pequeño,**
Biomass_std,128.2118911498531,259.09185256911076,263.58396922930206,143.34189200345935,-51.35823641903027,2.5305607127354347e-5,-0.39589138746678765,2.0244485701883478e-4,Mediano,***
CU_EA_corr,-0.9833142999733298,0.11761763457612895,-0.9754448513781033,0.08591353379775568,-0.8067548446340672,0.7191446014082532,-0.03783737857203546,0.8218795444665751,Trivial,ns
CU_ATP_corr,0.04608059818087327,0.9027214049171742,0.014307354296999962,0.7730979141200297,222.07630582361185,0.8641874457412033,0.01801240476932227,0.9217999421239502,Trivial,ns
EA_Biomass_corr,-0.6495894878290971,0.9404808783874885,-0.7965474922755813,0.7002947365208464,18.449371301973944,0.31306416687118155,0.12547222892050477,0.4174188891615754,Trivial,ns
N_soluciones,60,235,114,208,-47.368421052631575,0.25728135744125696,-0.10649558248547296,0.3742274290054647,Trivial,ns
